"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2021-04-12",0.0288728652906223,0.0189133956215954,0.0301946070990258,0.0295320703398895,0.0453349587544087,0.0493860110968796,0.0556213286616197,0.0361134730797195,0.0429581570907587,0.0255210704141674,0.027493304479501,0.024353898711015,0.0426893656405027,0.0340351375972766,0.0433131436069564,0.037517754694482,0.0273917764348465,0.0214014645518816,0.0436010093645943,0.0440033213798944,0.0569655174615085,0.0404404508845976,0.0460274712959995,0.019826628303892,0.0295773734535053,0.0333268461738546,0.0384567268125442,0.0393476823901127,0.0327312200901515,0.0458254101747429,0.0409051000343853,0.0482842704222636,0.0293656114882375,0.0219890245150657,0.0350148428878186,0.0240671463096394,0.0429751783954286,0.0433096763323262,0.0461259193041843,0.0351627610312012,0.0343036130305575,0.0290377723572426,0.0396668409557895,0.0321251869176078,0.0316287626865217,0.0414254833244469,0.0361017548112626,0.0178858095903963,0.0441387570902478,0.0209033466434215
"2021-04-19",0.0192081269623724,0.0263059688740952,0.0255332086685057,0.020842970583908,0.0494855731098703,0.0440839795399546,0.0501036802927787,0.0357201539592756,0.0337732508783397,0.0385577554930231,0.0311956165529087,0.0151986637307541,0.0342635837422262,0.0232941025834127,0.0307264181143366,0.0264928531562338,0.025822167378857,0.0150602500347402,0.0657031777725537,0.0467140172817615,0.0503033513369526,0.033651127677106,0.0287458472467707,0.0152542765835985,0.0303829226183998,0.0198909408689176,0.0362214176120033,0.0282940214716397,0.0216340089916166,0.0531992672978173,0.0413533960089259,0.0394184900132166,0.02552735084883,0.0119373489296147,0.0227496556621126,0.0150157784830872,0.0381149891517655,0.0390570558996731,0.0508287543151013,0.0193640586756227,0.0187281201005133,0.0184811516004717,0.0291020990188227,0.0446852391703198,0.0432683909491994,0.0341644134351994,0.0370517353297019,0.00981225312432518,0.0304676703935158,0.0107868732926831
"2021-04-26",0.0134612501873782,0.012644471631957,0.0198697792481834,0.0135055159314521,0.0352233029257807,0.0315841879190156,0.0379164426314067,0.0343995054243123,0.0234554971969347,0.0143116648926957,0.105506712471184,0.011893243950276,0.0292729829438089,0.0172157204036292,0.0207710130044658,0.0160047972858401,0.0145854452642349,0.00871903551759876,0.0255666516888705,0.0345236598695267,0.0476860147902729,0.02637716751126,0.0337224130936203,0.00784604534248789,0.0239468389690274,0.0149058083156652,0.0177180822246393,0.0195318029346566,0.117241825652657,0.0428562100112697,0.0368852204924674,0.0277978926326136,0.0187085648818221,0.00798097792568059,0.0169409107630185,0.00935614640592514,0.0333088573327355,0.0424539499291868,0.0505955948916375,0.0109538032215423,0.0113535271782687,0.0148953592337814,0.0190115278787356,0.0172569322492684,0.041269958284521,0.0322259255705482,0.0347533445315647,0.00730408833650365,0.0208965872348231,0.0138434132341786
"2021-05-03",0.0109463542574877,0.0108674107539523,0.0142063498278611,0.00988831613981558,0.0254463030338738,0.0190843962980765,0.0260382964961867,0.0217773505695425,0.019113838669316,0.0131738181666116,0.0778672083352167,0.00955365361640455,0.0232013615091312,0.0158611893047448,0.014179400140092,0.0101605937430706,0.0110744452425233,0.00494967081785082,0.0309474993527807,0.027409985311826,0.0390326997318681,0.0176925533228322,0.0237997798437912,0.00913630332352312,0.0125684570148929,0.0123552318629313,0.0107815931282335,0.0148865836665416,0.10401548564364,0.0356561838915853,0.0380212215683778,0.0249610855308188,0.0127238683443039,0.00655983371431721,0.0125617027829345,0.00757549145545924,0.0307020091579916,0.0293450494294285,0.028051816141995,0.0130220866802856,0.00748423969009528,0.0114179255060715,0.0148179667312057,0.0175214397693295,0.0377266265911739,0.0227010214610266,0.0363956525718746,0.00657367950285328,0.0141870221285462,0.00491396246105892
"2021-05-10",0.0110577104473929,0.00740077507193679,0.0127163894406116,0.00863873200512691,0.0182366352811888,0.0185552871324541,0.0177724822714132,0.0179889583102271,0.0188759644463474,0.0120359714405275,0.0502277041992496,0.00970725743047958,0.0171297400744534,0.0138931903433326,0.0111861226533801,0.0089647048001005,0.0104761472023579,0.0110293121183688,0.0204387403177475,0.0214945217080626,0.0300970489240266,0.0136391259031745,0.0165271421965121,0.00864136842611039,0.00951408309800131,0.0106752758758133,0.0138300710088048,0.0129610318438417,0.0392855540625912,0.0236825602694831,0.0315719593729389,0.0188646181539719,0.00852214761056452,0.00662675740294097,0.0103085780770119,0.00672787341630757,0.0282272223232506,0.0212707572237408,0.0176483748221805,0.00991179545028137,0.00622499742838766,0.0117267476271655,0.0107454917476037,0.0117153749362905,0.0467203748784033,0.0207713204082845,0.0420851612754112,0.00934577353308629,0.0106220182143756,0.00656577262729392
"2021-05-17",0.00861542038491307,0.00976563300958929,0.0125976872022913,0.00884683034418405,0.0176911585055592,0.0161535448056657,0.0208454466639011,0.015687579331337,0.0156579345393791,0.0111344344103084,0.0338914817158613,0.00986086124455462,0.0189717010680628,0.0130240861148456,0.0135223624198512,0.0088198525802574,0.0112085195134022,0.00490191649705278,0.0162675232775782,0.0196781834301518,0.0207938973693591,0.0137659926441322,0.0155738885090375,0.00483174733523086,0.0101980829754744,0.00899531988869531,0.00970115921770381,0.011901020597658,0.0132005992449866,0.0210156504195474,0.0242377895383935,0.0162749637457122,0.00863761197946164,0.00545756119580821,0.0126001146367128,0.00657068247404391,0.0263449333137652,0.0202707563644993,0.0184346978980725,0.00915568431262642,0.00771031550009665,0.0133562272684808,0.0147868588645401,0.0125887488232846,0.0521403422175711,0.0152391436302819,0.0369167367158015,0.012290844445238,0.0104339525360013,0.00603705514730656
"2021-05-24",0.00960538915011365,0.0137093411888537,0.0149766778952939,0.0106362109666499,0.0203819208046077,0.021263520328072,0.023918411056389,0.0200048471703616,0.0192200416645385,0.00997897512418974,0.0277037754825295,0.00918321381706877,0.0234162082939776,0.0141293680434341,0.0158586021863223,0.012050194383441,0.01656656608485,0.0109348790245384,0.0257489146057318,0.0201347077582671,0.0223213540857363,0.017538050259456,0.0206405311552243,0.00735480649658334,0.0133810123719578,0.0144407912588021,0.0126105764657714,0.0167056473763017,0.0176250688565438,0.0183487405696118,0.016903619703848,0.0218069586334348,0.0118175064196664,0.00869745506271143,0.0162369215765115,0.00822042921214232,0.0244626443042798,0.0209342470142725,0.0237105198322385,0.0119354075600237,0.0104978302374135,0.0116823791574208,0.0166962679975132,0.0192585180467118,0.0544352544676268,0.021925790335655,0.037257384969165,0.0153609051043246,0.0166806527991558,0.00961194555937791
"2021-05-31",0.0122638652222994,0.0124454408136205,0.013122367582089,0.00929898031813862,0.0180479658155402,0.0183152605016101,0.0202558728091175,0.0170110519592016,0.017109635433193,0.00911525329639782,0.022527283539755,0.00805035071471939,0.0203805751359651,0.0123707725491402,0.0132033520650889,0.0105098523537113,0.0142278206126545,0.00952704077659711,0.0209976179352662,0.0173766639980945,0.0191424653714333,0.0148115167764994,0.0169739355333823,0.00686306364365494,0.0118805467045805,0.0123320745748883,0.0105214360155665,0.0147032325635455,0.0146281084730505,0.0218571095641953,0.00713792111803108,0.0189705370651677,0.0100934546290819,0.00749676535504985,0.0135584433360994,0.0100373492754938,0.0205012190186349,0.0181807491007843,0.0199514141071835,0.011877645563533,0.00907722636631742,0.0103067369494466,0.0153537583493324,0.0160672722474842,0.0475969928957081,0.0188232549186523,0.0307481667831708,0.0130753783032307,0.0139465299220223,0.00825732299627306
"2021-06-07",0.0149223412944851,0.0111815404383872,0.0112680572688841,0.00796174966962732,0.0157140108264726,0.0153670006751482,0.0165933345618459,0.0140172567480416,0.0149992292018475,0.00825153146860589,0.0173507915969805,0.00691748761237,0.0173449419779525,0.0106121770548463,0.0105481019438554,0.00896951032398156,0.011889075140459,0.00811920252865582,0.0162463212648005,0.014618620237922,0.0159635766571302,0.0120849832935427,0.0133073399115403,0.00637132079072654,0.0103800810372032,0.0102233578909746,0.0084322955653616,0.0127008177507892,0.0116311480895573,0.0179859359009433,0.0605805242106056,0.0161341154969005,0.00836940283849748,0.00629607564738827,0.0108799650956874,0.0118542693388453,0.01653979373299,0.015427251187296,0.0161923083821285,0.0118198835670422,0.00765662249522132,0.00893109474147239,0.0140112487011517,0.0128760264482567,0.0477828936087014,0.0157207195016495,0.0231451709170437,0.0107898515021368,0.0112124070448888,0.00690270043316821
"2021-06-14",0.0175808173666708,0.00991764006315401,0.00941374695567914,0.00662451902111602,0.013380055837405,0.0124187408486862,0.0129307963145744,0.0110234615368816,0.012888822970502,0.00738780964081397,0.012174299654206,0.00578462451002062,0.0143093088199399,0.00885358156055232,0.007892851822622,0.00742916829425184,0.00955032966826354,0.00671136428071453,0.0114950245943348,0.0118605764777494,0.0127846879428272,0.00935844981058605,0.00964074428969833,0.00587957793779814,0.00887961536982593,0.00811464120706077,0.00634315511515668,0.010698402938033,0.00863418770606401,0.0141147622376914,0.00796106883298543,0.0132976939286334,0.00664535104791304,0.00509538593972669,0.00820148685527543,0.0136711894021968,0.0125783684473451,0.0126737532738077,0.0124332026570735,0.0117621215705514,0.00623601862412523,0.00755545253349819,0.012668739052971,0.00968478064902909,0.044779635538447,0.0126181840846468,0.0218328740797802,0.00850432470104294,0.00847828416775527,0.00554807787006336
"2021-06-21",0.0202392934388566,0.00865373968792077,0.00755943664247422,0.00528728837260472,0.0110461008483375,0.00947048102222432,0.00926825806730286,0.00802966632572163,0.0107784167391565,0.00652408781302205,0.00699780771143154,0.00465176140767124,0.0112736756619274,0.00709498606625839,0.00523760170138856,0.00588882626452212,0.00721158419606806,0.00530352603277323,0.00674372792386915,0.00910253271757685,0.00960579922852409,0.0066319163276294,0.00597414866785634,0.00538783508486974,0.00737914970244865,0.006005924523147,0.00425401466495176,0.00869598812527677,0.00563722732257075,0.0102435885744394,0.0150565449066185,0.0104612723603663,0.0049212992573286,0.00389469623206511,0.00552300861486342,0.0154881094655483,0.00861694316170022,0.0099202553603194,0.00867409693201845,0.0117043595740606,0.00481541475302913,0.00617981032552399,0.0113262294047903,0.00649353484980153,0.0325807025444359,0.00951564866764399,0.026829398653402,0.00621879789994906,0.00574416129062176,0.00419345530695851
"2021-06-28",0.00673297050794535,0.00738983931268753,0.00748524774352403,0.00527270823419944,0.00943930692029147,0.00713194701059399,0.007141641051618,0.00701710065272489,0.00893716130335333,0.00560296034169497,0.00650341273787461,0.00338655840722078,0.00960958965566196,0.0055702287759801,0.00415553379164329,0.00492051320249036,0.00567208029772994,0.00476575214991243,0.00441820189077318,0.0125698019081394,0.00666854987223074,0.00331395553175539,0.00463771395013008,0.00436100477496254,0.00506743215561959,0.00440783773618095,0.0145119333666941,0.0110630760260195,0.0029256216946101,0.00637241491118744,0.00888293704446095,0.00738327548359912,0.00438078108451458,0.00343541601601969,0.00404667596307671,0.00612337062869554,0.00651202291655454,0.00716701131363259,0.00688905859286872,0.0116465975775699,0.00524156765488171,0.00605226927883226,0.00678041132807794,0.00781732012708838,0.0369621900386065,0.00679056540088541,0.0228978923275744,0.00478029983031526,0.0052419658170449,0.00458394599479231
"2021-07-05",0.007331459041419,0.00687825082530808,0.00720164693860195,0.00780832684958997,0.00902022774066648,0.00669391685953306,0.00715510420339232,0.00656293516704253,0.00933773888748149,0.00579900602999428,0.00617252124485829,0.0035486957665222,0.0088349377725585,0.00557182557489589,0.00425996887549246,0.00932958136335459,0.00621968080475003,0.00659880820703176,0.00441931778618254,0.0111152922417329,0.00630565557969289,0.00374119204870962,0.00462844916122187,0.00551308083029445,0.00667755287719872,0.00434748844006894,0.0125919661209011,0.010765201502781,0.0032929791698383,0.00669620893045521,0.00835177785122201,0.00724580707871428,0.00506691689349551,0.00386320273153628,0.00408908726933639,0.00625358386503212,0.00600695349188439,0.00704861174306586,0.0067241006606813,0.0104465891871252,0.00547668649728313,0.00624186028939957,0.00761135693721463,0.00720634830524916,0.0298018074036562,0.00672627522708344,0.0189663860017468,0.0039426174303782,0.00512938403423723,0.00481331607802211
"2021-07-12",0.00792994757489265,0.00636666233792863,0.00691804613367988,0.0103439454649805,0.00860114856104148,0.00625588670847214,0.00716856735516664,0.00610876968136017,0.00973831647160965,0.0059950517182936,0.00584162975184197,0.00371083312582363,0.00806028588945504,0.00557342237381167,0.00436440395934163,0.0137386495242188,0.00676728131177013,0.00843186426415109,0.00442043368159189,0.00966078257532651,0.00594276128715504,0.00416842856566385,0.00461918437231365,0.00666515688562636,0.00828767359877786,0.00428713914395693,0.010671998875108,0.0104673269795426,0.00366033664506649,0.00702000294972299,0.00782061865798308,0.00710833867382943,0.00575305270247645,0.00429098944705286,0.00413149857559607,0.0063837971013687,0.00550188406721424,0.00693021217249913,0.00655914272849388,0.00924658079668049,0.00571180533968456,0.00643145129996688,0.00844230254635132,0.00659537648340995,0.0226414247687059,0.00666198505328147,0.0150348796759193,0.00310493503044114,0.00501680225142956,0.00504268616125192
