"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2021-05-31",0.0122985748403621,0.0119268122800563,0.0131578476089978,0.00931522282510916,0.0181195420048932,0.018430286249988,0.0202951791010633,0.0170710078075404,0.0171638960012731,0,0.0232715642690843,0.00806631122902964,0,0.0123759933866112,0.0132108932032123,0.0105925255035675,0.0142814791748252,0.00955979516782916,0.0210189932568539,0.0174779960633072,0.0191561727639541,0.0148170196414999,0.0169803728394212,0.0068956308934257,0.0119171889711904,0.0123733004636614,0.0105574843487639,0.0147550979383442,0,0.0203019681983247,0,0.0189948929458026,0.0101881410234818,0.00756802011426876,0.0135686107109373,0.0100869098360926,0.0208851915624916,0.0181897032961185,0.0200352156067227,0.0107572094910231,0.00911289883294976,0.0103379164251208,0.013455811026344,0.0160915554555905,0.0228976752318272,0.0190809494356696,0.023055922230939,0.0130824664912884,0.0144003401019206,0.00830170324754849
"2021-06-07",0.0149645750240267,0.0097702053322923,0.0112985236441482,0.00797565643898077,0.0157763308145481,0.0154635104000755,0.0166255337397727,0.0140666608955175,0.0150467969422843,0,0.0179240457934508,0.00693120212791606,0,0.0106166557122136,0.0105541265271057,0.00904006675486132,0.0119339133974868,0.00814711670918175,0.0162628598237324,0.0147038687631527,0.0159750077349475,0.0120894731802033,0.013312386673937,0.00640155457644308,0.0104120955316752,0.0102575343803188,0.0084611861274207,0.0127456196452058,0.0018808809737295,0.0187236857969511,0.005046900962062,0.0161548297544802,0.00844791595488619,0.00635591817053413,0.0108881238998074,0.011912801150163,0.0172928877499361,0.0154348492581915,0.0162603205899918,0.00948205542499979,0.00768671215030481,0.00895811268639541,0.0127609376220516,0.0128954865796971,0.0180412147888171,0.0159359396236024,0.0190972825971257,0.0107957007016619,0.0121114225580778,0.00693980005732501
"2021-06-14",0.0176305752076913,0.00761359838452832,0.00943919967929865,0.00663609005285238,0.013433119624203,0.012496734550163,0.0129558883784821,0.0110623139834945,0.0129296978832956,0.00362057221773384,0.0125765273178174,0.00579609302680248,0.01072372912951,0.00885731803781597,0.00789735985099907,0.00748760800615517,0.00958634762014852,0.00673443825053433,0.011506726390611,0.0119297414629983,0.0127938427059409,0.0093619267189067,0.00964440050845287,0.00590747825946046,0.00890700209215996,0.00814176829697611,0.00636488790607754,0.0107361413520675,0.00376176194745901,0.0171454033955775,0.010093801924124,0.0133147665631578,0.0067076908862906,0.00514381622679951,0.00820763708867746,0.0137386924642333,0.0137005839373806,0.0126799952202645,0.0124854255732608,0.00820690135897648,0.00626052546765986,0.00757830894766998,0.0120660642177591,0.00969941770380367,0.0131847543458071,0.0127909298115352,0.0151386429633124,0.00850893491203544,0.00982250501423507,0.00557789686710153
"2021-06-21",0.0202965753913559,0.00545699143676434,0.00757987571444906,0.00529652366672398,0.0110899084338579,0.00952995870025049,0.00928624301719152,0.00805796707147156,0.0108125988243069,0.00656303920001584,0.00722900884218391,0.0046609839256889,0.0112983840933355,0.00709798036341838,0.00524059317489247,0.00593514925744903,0.00723878184281021,0.00532175979188692,0.00675059295748951,0.00915561416284386,0.00961267767693429,0.00663438025761012,0.0059764143429687,0.00541340194247784,0.00740190865264473,0.00602600221363347,0.00426858968473438,0.00872666305892917,0.00564264292118851,0.015567120994204,0.015140702886186,0.0104747033718355,0.00496746581769501,0.00393171428306488,0.00552715027754755,0.0155645837783036,0.0101082801248251,0.00992514118233745,0.00871053055652982,0.00693174729295316,0.00483433878501491,0.00619850520894454,0.0113711908134667,0.00650334882791023,0.008328293902797,0.00964591999946795,0.0111800033294992,0.00622216912240896,0.0075335874703923,0.00421599367687805
"2021-06-28",0.00675202639534482,0.00759148113925579,0.00750548622485739,0.00528191806122537,0.00947674214298602,0.00717673794011493,0.00715549932525513,0.00704183258720619,0.00896550413106796,0.00563641223302982,0.00671827951340628,0.00339327255121728,0.209329419732146,0.00557257957977995,0.00415790723848806,0.00495921920060223,0.00569347188549159,0.00478213701842445,0.00442269956696417,0.0126431027434899,0.00667332503723011,0.00331518675271568,0.00463947278702203,0.00438169902160398,0.00508306125120678,0.0044225730531901,0.0145616538619351,0.0111021008174751,0.00292843229491036,0.0139888385928304,0.0089325878799563,0.00739275471846504,0.00442187706015335,0.00346806873081667,0.00404971053499209,0.00615360547185811,0.00651597631226961,0.0071705411362438,0.00691799455888068,0.0117412074578254,0.00526216641927562,0.00607057833083183,0.00680732733285062,0.00782913480281901,0.00580670722806725,0.00688352974094337,0.00846205832071328,0.00478289124016847,0.00524466992654953,0.00460858311691696
"2021-07-05",0.0073522087918898,0.00740752182937002,0.00722111862506182,0.00782196563566583,0.00905600094277536,0.00673595681830294,0.0071689886021231,0.00658606638470481,0.00936735208517916,0,0.00666404492277894,0.00380631134490477,0.407360455370956,0.00557417705259282,0.00426240197078017,0.00940297020386248,0.00666994391604789,0.00662149520404864,0.00467202097040239,0.0111801110998533,0.00631017088607871,0.00374258199918503,0.00463020448447484,0.00553924201569633,0.0063221442572162,0.0043620220105387,0.0136941724163033,0.0108031755474894,0.00329614268488213,0.0124105561914568,0.00903705558065338,0.00725510982073505,0.00511444948852858,0.00390742808747093,0.00409215364517183,0.00628446165094911,0.00601060026409324,0.00705208325273977,0.00675234375740571,0.0105314509285471,0.00549820925197118,0.00626074288357171,0.00764157152298766,0.0072172395911431,0.00387113815204483,0.00681835942046335,0.00837430305415214,0.00394475473097004,0.00513203006753924,0.0048303556177059
"2021-07-12",0.00795239118843477,0.00722356251948424,0.00693675102526625,0.0103620132101063,0.0086352597425647,0.00629517569649096,0.00718247787899107,0.00613030018220343,0.00976920003929035,0,0.0066098103321516,0.00421935013859227,0.605391491009766,0.00557577452540569,0.00436689670307227,0.0138467212071227,0.0076464159466042,0.00846085338967283,0.00492134237384062,0.00971711945621665,0.00594701673492731,0.00416997724565438,0.00462093618192764,0.00669678500978869,0.00756122726322563,0.00430147096788729,0.0128266909706714,0.0105042502775036,0.00366385307485391,0.0108322737900833,0.00914152328135046,0.00711746492300507,0.00580702191690382,0.00434678744412519,0.00413459675535158,0.00641531783004011,0.00550522421591686,0.00693362536923574,0.00658669295593073,0.0093216943992688,0.00573425208466675,0.00645090743631158,0.0084758157131247,0.00660534437946719,0.00193556907602242,0.00675318909998333,0.008286547787591,0.00310661822177162,0.00501939020852894,0.00505212811849484
"2021-07-19",0.00855257358497975,0.00703960320959846,0.00665238342547069,0.0129020607845467,0.00821451854235404,0.00585439457467898,0.00719596715585904,0.00567453397970204,0.0101710479934015,0,0.00655557574152426,0.00463238893227977,0.00661082564220223,0.00557737199821856,0.00447139143536438,0.018290472210383,0.00862288797716051,0.010300211575297,0.00517066377727884,0.00825412781258001,0.00558386258377591,0.00459737249212373,0.00461166787938045,0.00785432800388104,0.00880031026923505,0.00424091992523589,0.0119592095250396,0.0102053250075179,0.00403156346482569,0.00925399138870969,0.00924599098204754,0.00697982002527509,0.00649959434527905,0.00478614680077945,0.00417703986553132,0.00654617400913111,0.00499984816774048,0.00681516748573172,0.00642104215445575,0.00811193786999048,0.00597029491736231,0.00664107198905146,0.00931005990326174,0.00599344916779127,0,0.0066880187795033,0.00819879252102986,0.00226848171257319,0.00490675034951865,0.00527390061928378
"2021-07-26",0.00915275598152473,0.00685564389971269,0.00636801582567512,0.0154421083589872,0.00779377734214338,0.005413613452867,0.00720945643272701,0.00521876777720066,0.0105728959475127,0.453568646051143,0.00650134115089693,0.00504542772596726,0.00652525219451999,0.00557896947103143,0.00457588616765649,0.0227342232136432,0.00959936000771681,0.0121395697609212,0.00541998518071706,0.00679113616894338,0.00522070843262451,0.00502476773859308,0.00460239957683325,0.00901187099797339,0.0100393932752445,0.00418036888258449,0.0110917280794078,0.00990639973753221,0.00439927385479746,0.00767570898733612,0.00935045868274462,0.00684217512754511,0.00719216677365429,0.00522550615743372,0.00421948297571107,0.00667703018822211,0.00449447211956411,0.00669670960222769,0.00625539135298077,0.00690218134071216,0.00620633775005788,0.00683123654179133,0.0101443040933988,0.00538155395611536,0,0.00662284845902328,0.00811103725446872,0.00143034520337477,0.00479411049050835,0.00549567312007273
"2021-08-02",0.0128393423498066,0.00667168458982691,0.00685939973192232,0.0168439145412744,0.00961849892752442,0.0068045421861171,0.00834283671623789,0.00833931059500548,0.0148742828005386,0.0119812487842758,0.00644710656026959,0.00545846651965476,0.00923291629327144,0.00642050328863926,0.00563034742674983,0.00963648767581271,0.0105758320382731,0.0183445841084115,0.00566930658415528,0.00759937104752265,0.00607238749335579,0.00410521811356498,0.00631787812102328,0.0114911989596545,0.0112784762812539,0.00520363456460045,0.010224246633776,0.0111539036708023,0.00618003748511123,0.00883272871369972,0.0094549263834417,0.00901829502326388,0.00914825982305177,0.00566486551408798,0.005156955606005,0.0096804366393238,0.00579572203119299,0.00860938533429272,0.00986605746352839,0.0088329750827553,0.00687588232356933,0.0089538533529106,0.0119154889237412,0.00863385315139701,0,0.00850592928185929,0.00802328198790758,0.00165980339173817,0.00589438969301471,0.00571744562086167
